4.855,9.640,1
8.625,0.059,0
3.828,0.723,0
7.151,3.899,1
6.478,8.198,1
1.922,1.331,0
8.978,0.993,1
6.636,8.543,1
7.672,5.416,1
4.866,2.043,0
6.861,9.655,1
8.540,2.590,1
3.718,5.382,0
9.181,0.171,1
9.560,0.025,0
5.971,4.188,1
9.438,1.944,1
4.358,9.888,1
4.540,6.714,1
1.549,9.375,0
8.082,9.842,1
9.620,2.099,1
8.835,3.152,1
1.753,4.219,0
1.043,2.610,0
1.196,7.476,0
8.910,8.233,1
4.530,4.906,1
1.859,5.692,0
9.557,1.645,1
7.155,8.015,1
2.344,2.959,0
2.923,8.218,1
6.333,7.240,1
0.926,3.421,0
7.874,7.791,1
8.348,1.861,1
5.581,2.496,0
5.091,9.873,1
4.530,3.762,0
1.424,0.229,0
9.096,1.068,1
4.007,9.792,1
8.977,3.935,1
0.098,7.215,0
0.452,2.775,0
3.863,3.913,0
7.864,7.726,1
8.923,7.754,1
7.464,9.945,1
1.342,2.343,0
5.941,4.621,1
0.904,9.421,0
7.751,9.057,1
9.518,1.301,0
7.744,1.154,0
7.692,8.298,1
7.092,2.357,0
6.944,6.485,1
0.045,3.346,0
1.546,7.568,1
5.272,9.150,1
0.860,8.988,0
7.253,1.763,1
7.517,2.249,0
9.082,1.437,1
0.456,4.722,0
6.950,1.411,0
9.282,8.529,1
7.181,3.611,1
1.132,3.265,0
7.747,3.643,1
7.065,1.121,0
6.506,0.863,0
5.701,7.084,1
6.660,2.254,0
1.091,7.084,0
4.903,6.025,0
3.443,7.066,0
8.183,0.975,1
9.000,9.549,1
9.683,9.507,1
2.992,5.299,0
2.238,4.535,0
0.665,9.783,1
6.779,2.028,0
9.948,1.026,1
3.215,0.485,0
8.852,1.028,1
0.200,4.834,0
5.185,0.733,0
7.260,3.974,1
9.151,2.562,1
6.461,7.076,1
4.779,8.283,1
0.022,2.658,0
7.631,7.405,1
3.685,5.050,0
7.484,6.059,1
2.031,3.937,0
